[公共事件 | 序章] 旁白/未命名: 在多元宇宙的無盡象限之中，存在著一個凡人肉眼無法觀測的維度
[公共事件 | 序章] 旁白/未命名: 成為一位光榮的解題者！
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 你是闖入絕對秩序中的未知變量X。在這個邏輯崩壞的世界裡，
[公共事件 | 序章] 旁白/未命名: 你那不按牌理出牌的「玩家思維」，究竟是加速毀滅的混亂因子，
[公共事件 | 序章] 旁白/未命名: 還是修正一切的唯一解？
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 冒險的鐘聲已經敲響，補考的號角已然吹起。歡迎來到數界——請
[公共事件 | 序章] 旁白/未命名: 準備好你的劍，以及你的計算機。 
[公共事件 | 序章] ? ? ?: （聲音空靈，帶著一種不容置疑的威嚴，彷彿從四面八方傳來）
[公共事件 | 序章] ? ? ?: ……甦醒吧。來自異界的觀測者啊……聽得見嗎？數列正在崩
[公共事件 | 序章] ? ? ?: 塌，幾何的邊界正在溶解……世界需要你的修正……
[公共事件 | 序章] 悠真: （聲音含糊不清，充滿了剛睡醒的煩躁）
[公共事件 | 序章] 悠真: ……吵死了。右上角……
[公共事件 | 序章] ? ? ?: ……什麼？
[公共事件 | 序章] 悠真: (帶著幾分不耐煩道)
[公共事件 | 序章] 悠真: 我問你，右上角的SKIP按鈕在哪裡？這段開場
[公共事件 | 序章] 悠真: 動畫又長又悶，能不能直接跳過？
[公共事件 | 序章] ? ? ?: （停頓了一秒，似乎沒預料到這個反應）
[公共事件 | 序章] ? ? ?: 這不是動畫，這是命運的呼喚。魔王卡薩斯的陰影已經覆蓋了
[公共事件 | 序章] ? ? ?: 數界，如果再不採取行動，所有的邏輯都將歸零。
[公共事件 | 序章] ? ? ?: 你是被選中的變量 X，只有你能拯救—— 
[公共事件 | 序章] 悠真: 我拒絕。
[公共事件 | 序章] ? ? ?: ……你說什麼？
[公共事件 | 序章] 悠真: (充滿嫌棄）我說，我拒絕。你是聽不懂人話，
[公共事件 | 序章] 悠真: 還是你的語言模組有 Bug？ 
[公共事件 | 序章] 悠真: 聽著，我不知道你是誰，但我現在很睏。昨晚我為
[公共事件 | 序章] 悠真: 了刷鑽石抽角色熬到凌晨三點，現在是我寶貴的補眠
[公共事件 | 序章] 悠真: 時間。
[公共事件 | 序章] 悠真: (翻身的聲音，像是在虛空中尋找一個舒服的姿勢)
[公共事件 | 序章] 悠真: 而拯救世界這種高風險、低回報、還沒有保底機制的
[公共事件 | 序章] 悠真: 爛任務，你還是去找別人吧。
[公共事件 | 序章] 悠真: 依我看隔壁班那個考全級第一的眼鏡仔就很適合，
[公共事件 | 序章] 悠真: 他最喜歡做額外題了。
[公共事件 | 序章] 悠真: 而且到最後這種拯救世界的老土劇情到最後主角都
[公共事件 | 序章] 悠真: 要回歸到現實世界
[公共事件 | 序章] 悠真: 最後到頭來什麼都沒有得著。完全就是吃力不討好的
[公共事件 | 序章] 悠真: 典範。
[公共事件 | 序章] ? ? ?: （聲音中多了一絲焦急）
[公共事件 | 序章] ? ? ?: 這不是選擇題！這是強制性的公理！你的靈魂頻率與數界的核心
[公共事件 | 序章] ? ? ?: 完美契合……如果你不伸出援手，兩個維度都將毀滅！
[公共事件 | 序章] 悠真: 毀滅就毀滅吧。反正現實世界也沒好到哪去。 明天
[公共事件 | 序章] 悠真: 要考數學，下週要交讀書報告，考得不好又要被老師
[公共事件 | 序章] 悠真: 罵。
[公共事件 | 序章] 悠真: 我看這個世界毀滅了還比較省事，至少我不用背那
[公共事件 | 序章] 悠真: 些見鬼的公式。
[公共事件 | 序章] ? ? ?: 你……你這是在逃避責任！身為擁有智慧的個體，難道你對真理沒
[公共事件 | 序章] ? ? ?: 有一絲追求嗎？
[公共事件 | 序章] 悠真: （不耐煩地咂嘴）打住, 別打算用道德綁架我。你
[公共事件 | 序章] 悠真: 這個 NPC 話真的很多欸。 
[公共事件 | 序章] 悠真: 聽好了，我的追求就是：躺平、打機、喝快樂水。任
[公共事件 | 序章] 悠真: 何阻礙我實現這三個目標的東西，都是敵人。
[公共事件 | 序章] 悠真: 現在，你——這個在那裡嗡嗡叫的聲音——就是妨礙
[公共事件 | 序章] 悠真: 我睡覺的敵人。再不閉嘴，我就要找設定選項把
[公共事件 | 序章] 悠真: 你靜音了。
[公共事件 | 序章] ? ? ?: （沉默了片刻，似乎對這種油鹽不進的態度感到無奈）
[公共事件 | 序章] ? ? ?: ……看來，無法通過常規邏輯說服。正在切換執行方案 B。
[公共事件 | 序章] 悠真: 哈？什麼方案 B？喂，我都說了我不去——
[公共事件 | 序章] ? ? ?: （語氣突然變得冰冷且機械化）
[公共事件 | 序章] ? ? ?: 系統強制執行。權限覆蓋。既然變量不願意主動代入……那就強制
[公共事件 | 序章] ? ? ?: 運算。
[公共事件 | 序章] 悠真: 喂！等等！地板怎麼在發光？為什麼我有種墜落感
[公共事件 | 序章] 悠真: ？ 我警告你啊！我要投訴！這是綁架！這是非法拘
[公共事件 | 序章] 悠真: 留！我的鑽石還沒抽新出的角色啊啊啊——
[公共事件 | 序章] ? ? ?: (悠真的聲音逐漸遠去，化為一聲慘叫，隨後被巨大的吸力吞沒。)
[公共事件 | 序章] ? ? ?: 祝你好運，解題者。願真理與邏輯與你同在。
[公共事件 | 第一章第一幕] 大賢者艾爾文: （清了清喉嚨，試圖展現大賢者的威儀）
[公共事件 | 第一章第一幕] 大賢者艾爾文: 咳！歡迎來到數界，異界的"解題者"啊。我是掌
[公共事件 | 第一章第一幕] 大賢者艾爾文: 管公理神殿的大賢者艾爾文。
[公共事件 | 第一章第一幕] 大賢者艾爾文: 正如剛才神秘的聲音所說，我們的世界正處於邏輯
[公共事件 | 第一章第一幕] 大賢者艾爾文: 崩壞的邊緣……
[公共事件 | 第一章第一幕] 悠真: （完全無視艾爾文，繼續對著空氣狂點手指）
[公共事件 | 第一章第一幕] 悠真: ……奇怪，主選單在哪？為什麼沒有 UI？ 喂，
[公共事件 | 第一章第一幕] 悠真: 系統！登出！Log out！強制結束應用程式！
[公共事件 | 第一章第一幕] 大賢者艾爾文: （被無視感到尷尬，音量提高了一度） 
[公共事件 | 第一章第一幕] 大賢者艾爾文: ……勇者！請看著我！這裡沒有什麼「系統選單」！
[公共事件 | 第一章第一幕] 悠真: （終於停下動作，用一種看垃圾的眼神看著艾爾文）
[公共事件 | 第一章第一幕] 悠真: 沒有選單？那就是不能存檔也不能退出的意思？ 
[公共事件 | 第一章第一幕] 悠真: 哇，這什麼糞game？強制單機就算了，還不給玩家
[公共事件 | 第一章第一幕] 悠真: 退出權限？信不信我要去Threads上面刷你啊老伯。 
[公共事件 | 第一章第一幕] 大賢者艾爾文: 這不是遊戲！這是現實！ 魔王卡薩斯已經篡改了
[公共事件 | 第一章第一幕] 大賢者艾爾文: 「畢氏定理」，現在直角三角形的斜邊長度正在隨
[公共事件 | 第一章第一幕] 大賢者艾爾文: 機浮動！如果再不修正，連建築物的地基都會瓦解！
[公共事件 | 第一章第一幕] 悠真: （打了個大大的哈欠）
[公共事件 | 第一章第一幕] 悠真: 哦。所以呢？ 關我什麼事？三角形斜邊變長變短
[公共事件 | 第一章第一幕] 悠真: ，會影響我明天早上吃火腿通粉嗎？不會嘛。
[公共事件 | 第一章第一幕] 悠真: 聽著，我很忙的。我還有每日任務沒解，體力值快
[公共事件 | 第一章第一幕] 悠真: 滿溢出了。快點把我送回去。
[公共事件 | 第一章第一幕] 大賢者艾爾文: （氣得鬍子都在抖動）
[公共事件 | 第一章第一幕] 大賢者艾爾文: 你……你這個年輕人怎麼一點責任感都沒有！你可
[公共事件 | 第一章第一幕] 大賢者艾爾文: 是被「變量篩選系統」選中的天選之人！
[公共事件 | 第一章第一幕] 悠真: 選錯人了吧？老伯，我上學期數學考 15 分。15 分
[公共事件 | 第一章第一幕] 悠真: 啊！
[公共事件 | 第一章第一幕] 悠真: 你找一個連二次方程公式-b加減不知道什麼鬼都背
[公共事件 | 第一章第一幕] 悠真: 不出來的人來拯救數學世界？
[公共事件 | 第一章第一幕] 悠真: 這不叫拯救，這叫加速滅亡。為了你們世界的安全
[公共事件 | 第一章第一幕] 悠真: 著想，趕緊送我走，換個學霸過來。
[公共事件 | 第一章第一幕] 大賢者艾爾文: （深吸一口氣，壓抑住想用權杖敲人頭的衝動）
[公共事件 | 第一章第一幕] 大賢者艾爾文: 正是因為你不受常規邏輯束縛，我們才召喚你！學
[公共事件 | 第一章第一幕] 大賢者艾爾文: 霸的思維太過僵化，面對魔王的混沌運算是無效的
[公共事件 | 第一章第一幕] 大賢者艾爾文: ！我們需要的是……
[公共事件 | 第一章第一幕] 悠真: （轉身就走，走向神殿大門）
[公共事件 | 第一章第一幕] 悠真: 不想聽。這劇情太老套了，我拒絕。 門在那邊是
[公共事件 | 第一章第一幕] 悠真: 吧？我自己走出去找傳送點。
[公共事件 | 第一章第一幕] 大賢者艾爾文: 等等！你出不去的！連接著人類世界的「維度傳送
[公共事件 | 第一章第一幕] 大賢者艾爾文: 門」是基於「歐拉恆等式」 e的i乘以圓周率次方 +
[公共事件 | 第一章第一幕] 大賢者艾爾文:  1 = 0)構建的。但是現在……魔王把那個 0 改成
[公共事件 | 第一章第一幕] 大賢者艾爾文: 了 0.00001。
[公共事件 | 第一章第一幕] 悠真: (停下腳步，背影僵硬了一下）
[公共事件 | 第一章第一幕] 悠真: ……什麼意思？
[公共事件 | 第一章第一幕] 大賢者艾爾文: （露出一絲狡猾的笑容，終於掌握了對話的主導權）
[公共事件 | 第一章第一幕] 大賢者艾爾文: 意思就是，這條公式現在不成立了。傳送門報廢了。
[公共事件 | 第一章第一幕] 大賢者艾爾文: 除非你打倒魔王，奪回被篡改的源代碼，把那個 0.
[公共事件 | 第一章第一幕] 大賢者艾爾文: 00001 修正回 0，否則……
[公共事件 | 第一章第一幕] 大賢者艾爾文: (艾爾文攤開雙手，語氣輕鬆道)
[公共事件 | 第一章第一幕] 大賢者艾爾文: ——你這輩子都別想回去解你的每日任務，也別想喝
[公共事件 | 第一章第一幕] 大賢者艾爾文: 你的快樂水。你就永遠留在這裡，陪我們一起背誦
[公共事件 | 第一章第一幕] 大賢者艾爾文: 圓周率到小數點後十萬億位吧。
[公共事件 | 第一章第一幕] 悠真: (臉色鐵青，眼神中第一次出現了殺氣）
[公共事件 | 第一章第一幕] 悠真: ……你這是威脅我？
[公共事件 | 第一章第一幕] 大賢者艾爾文: 這是「條件式邏輯」。 IF (魔王被擊敗), THEN
[公共事件 | 第一章第一幕] 大賢者艾爾文:  (傳送門開啟), ELSE (悠真永遠留在這裡補習)。
[公共事件 | 第一章第一幕] 悠真: （死死盯著艾爾文，拳頭握緊又鬆開，鬆開又握緊
[公共事件 | 第一章第一幕] 悠真: 。最後，他發出了一聲極度不甘心的長嘆。）
[公共事件 | 第一章第一幕] 悠真: ……算你狠。行。我就當這是個不能退款的強制付
[公共事件 | 第一章第一幕] 悠真: 費DLC。
[公共事件 | 第一章第一幕] 悠真: 說好了，我不看劇情，不接支線，不搞社交。 我只
[公共事件 | 第一章第一幕] 悠真: 走主線，用最快速度速通 (Speedrun) 這個垃圾世
[公共事件 | 第一章第一幕] 悠真: 界，然後回家。
[公共事件 | 第一章第一幕] 大賢者艾爾文: （滿意地點點頭)
[公共事件 | 第一章第一幕] 大賢者艾爾文: 很好！那麼，勇者啊，你的第一個任務是……
[公共事件 | 第一章第一幕] 悠真: 閉嘴，帶路。 再囉嗦我就先把你這個 NPC 
[公共事件 | 第一章第一幕] 悠真: 砍了練等。
[公共事件 | 第一章第一幕] 大賢者艾爾文: ..............
[公共事件 | 數八星之戰版本1] 悠真: ...
[公共事件 | 數八星之戰版本1] 悠真: ......
[公共事件 | 數八星之戰版本1] 悠真: ...可惡, 是我小看了數八星的實力。
[公共事件 | 數八星之戰版本1] 數八星: 就算切斷了所有魔力能源又如何？
[公共事件 | 數八星之戰版本1] 數八星: 獅子就算受了瀕死，踩死一隻螞蟻......依然只需
[公共事件 | 數八星之戰版本1] 數八星: 要一腳。
[公共事件 | 數八星之戰版本1] 數八星: 遊戲結束了，小鬼。帶著你的遺憾......消失吧！
[公共事件 | 數八星之戰版本1] 悠真: ......身體動不了......！
[公共事件 | 數八星之戰版本1] 數八星: 數八星火箭拳！
[公共事件 | 數八星之戰版本1] 米勒: ....
[公共事件 | 數八星之戰版本1] 數八星: 什麼！？
[公共事件 | 數八星之戰版本1] 米勒: 呼......趕上了嗎......
[公共事件 | 數八星之戰版本1] 悠真: （抬頭看著眼前高大的背影）
[公共事件 | 數八星之戰版本1] 悠真: 咳咳......沒、沒死？
[公共事件 | 數八星之戰版本1] 米勒: 做得好，孩子。能把這他逼到這種地步，你已經
[公共事件 | 數八星之戰版本1] 米勒: 很努力了。
[公共事件 | 數八星之戰版本1] 米勒: 接下來，就交給我們來處理吧。
[公共事件 | 數八星之戰版本1] 莉娜: 喂！！！！！
[公共事件 | 數八星之戰版本1] 莉娜: 米勒！！你這傢伙跑太快了吧！
[公共事件 | 數八星之戰版本1] 莉娜: 害我剛剛在轉角處迷路，差點掉進洞裡耶！你有沒
[公共事件 | 數八星之戰版本1] 莉娜: 有一點當弟弟的自覺啊？
[公共事件 | 數八星之戰版本1] 米勒: (無語)
[公共事件 | 數八星之戰版本1] 米勒: 那條路只有一直線，妳到底是怎麼迷路的？
[公共事件 | 數八星之戰版本1] 米勒: 而且是妳自己說「這裡好髒我不想走，米勒你先
[公共事件 | 數八星之戰版本1] 米勒: 去探路的吧？」
[公共事件 | 數八星之戰版本1] 莉娜: 囉嗦！我那是在考驗你的反應能力！
[公共事件 | 數八星之戰版本1] 莉娜: （莉娜拿出鏡子照，完全沒把戰場當一回事）
[公共事件 | 數八星之戰版本1] 莉娜: 還有，我的頭髮有沒有亂掉？剛剛跑太急了......
[公共事件 | 數八星之戰版本1] 數八星: 可惡！！！
[公共事件 | 數八星之戰版本1] 數八星: 你、你們這些傢伙......竟敢無視我數八星大人..
[公共事件 | 數八星之戰版本1] 數八星: ....！！
[公共事件 | 數八星之戰版本1] 莉娜: （不耐煩地收起鏡子，轉頭瞪向數八星）
[公共事件 | 數八星之戰版本1] 莉娜: 吵死了！哪來的蒼蠅在嗡嗡叫？
[公共事件 | 數八星之戰版本1] 莉娜: 聽好了，少女的美貌可是比生命還重要的！無時無
[公共事件 | 數八星之戰版本1] 莉娜: 刻都要保持在最完美的狀態才行啊。
[公共事件 | 數八星之戰版本1] 莉娜: 喂，米勒，這就是那個什麼魔王幹部？怎麼感覺
[公共事件 | 數八星之戰版本1] 莉娜: 弱得像史萊姆一樣？
[公共事件 | 數八星之戰版本1] 米勒: 啊，大概是因為機關都解開了吧。
[公共事件 | 數八星之戰版本1] 米勒: 加上他剛剛還與皇鴉那群家伙打了一架, 前幾天又
[公共事件 | 數八星之戰版本1] 米勒: 被騎士團重創。
[公共事件 | 數八星之戰版本1] 米勒: 還活著就已經是個奇蹟了。
[公共事件 | 數八星之戰版本1] 米勒: 現在這傢伙身上的能量反應......嗯，大概比村口
[公共事件 | 數八星之戰版本1] 米勒: 的野豬強一點點而已。
[公共事件 | 數八星之戰版本1] 數八星: 野、野豬！？少看不起人了！！
[公共事件 | 數八星之戰版本1] 莉娜: 冰拳！
[公共事件 | 數八星之戰版本1] 數八星: (被凍結了)
[公共事件 | 數八星之戰版本1] 莉娜: 居然敢打擾美少女。
[公共事件 | 數八星之戰版本1] 莉娜: 真是活得不耐煩了！
[公共事件 | 數八星之戰版本1] 莉娜: 烈拳！
[公共事件 | 數八星之戰版本1] ???: (數八星掉入了黑暗的時空亂流中被無情撕裂, 一代天王
[公共事件 | 數八星之戰版本1] ???: 就此真正迎來了他的終結)
[公共事件 | 數八星之戰版本1] 莉娜: 呼......這下子就算是結束了。
[公共事件 | 數八星之戰版本1] 悠真: 那個......雖然場面很混亂，但還是謝謝你們救
[公共事件 | 數八星之戰版本1] 悠真: 了我。
[公共事件 | 數八星之戰版本1] 悠真: 不過，嘶......（摸著屁股）
[公共事件 | 數八星之戰版本1] 米勒: （米勒緊張地湊過來檢查）
[公共事件 | 數八星之戰版本1] 米勒: 怎麼了？悠真？是剛才戰鬥時受傷了嗎？
[公共事件 | 數八星之戰版本1] 悠真: 不，不是戰鬥的傷......
[公共事件 | 數八星之戰版本1] 悠真: 其實在掉下來之前，我是被人從背後狠狠踢了一
[公共事件 | 數八星之戰版本1] 悠真: 腳才摔進來的。
[公共事件 | 數八星之戰版本1] 悠真: 那個力道大得離譜，根本是想殺人吧......到底
[公共事件 | 數八星之戰版本1] 悠真: 是哪個混蛋幹的......
[公共事件 | 數八星之戰版本1] 莉娜: 哎、哎呀？是嗎？那還真是個災難呢，呵呵呵....
[公共事件 | 數八星之戰版本1] 莉娜: 不過這種小事就別放在心上了吧？反正結果是好
[公共事件 | 數八星之戰版本1] 莉娜: 的嘛！活著就是贏家！
[公共事件 | 數八星之戰版本1] ???: （莉娜試圖轉身背對大家）
[公共事件 | 數八星之戰版本1] 米勒: （瞇起眼睛看著姐姐的背影）
[公共事件 | 數八星之戰版本1] 米勒: ......姐。
[公共事件 | 數八星之戰版本1] 米勒: 妳剛剛在上面的時候，是不是跟我抱怨過「有個像
[公共事件 | 數八星之戰版本1] 米勒: 麻布袋一樣擋路的東西，我就順腳把它踢開了」？。
[公共事件 | 數八星之戰版本1] 悠真: ......麻布袋？
[公共事件 | 數八星之戰版本1] 莉娜: 囉、囉嗦
[公共事件 | 數八星之戰版本1] 莉娜: 誰叫他要站在本小姐趕路的必經之路上！那是他的
[公共事件 | 數八星之戰版本1] 莉娜: 錯！是他不好！
[公共事件 | 數八星之戰版本1] 悠真: .....
[公共事件 | 數八星之戰版本1] 悠真: 把我的感動還給我！還有我的屁股現在還在痛啊！
[公共事件 | 數八星之戰版本1] ???: 就在此時, 三人在打鬧中正要踏上了返回數學村的道路時。
[公共事件 | 數八星之戰版本1] 莉娜: 走了米勒，這種的地方我一秒都不想多待。
[公共事件 | 數八星之戰版本1] 米勒: 等等......姐，別動！
[公共事件 | 數八星之戰版本1] ???: （米勒突然舉起盾牌，神情比面對數八星時還要緊張）
[公共事件 | 數八星之戰版本1] 莉娜: 這、這個是......魔王卡薩斯！？
[公共事件 | 數八星之戰版本1] 莉娜: 為什麼那傢伙會在這裡！？
[公共事件 | 數八星之戰版本1] 米勒: 糟糕！是「卡薩斯的魂鎖」！
[公共事件 | 數八星之戰版本1] 米勒: 這是埋藏在幹部們體內的「死後報復術式」！它鎖
[公共事件 | 數八星之戰版本1] 米勒: 定我們了！
[公共事件 | 數八星之戰版本1] ???: 受到 【魔王卡薩斯的怨鎖】 影響：
[公共事件 | 數八星之戰版本1] ???: 莉娜 等級重置為 Lv.15！
[公共事件 | 數八星之戰版本1] ???: 米勒 等級重置為 Lv.15！
[公共事件 | 數八星之戰版本1] ???: 三人眼前一黑, 全都倒了下來。
[公共事件 | 數八星之戰版本2] 悠真: ...
[公共事件 | 數八星之戰版本2] 悠真: ......
[公共事件 | 數八星之戰版本2] 悠真: ...可惡, 是我小看了數八星的實力。
[公共事件 | 數八星之戰版本2] 數八星: 獅子就算受了瀕死，踩死一隻螞蟻......依然只需
[公共事件 | 數八星之戰版本2] 數八星: 要一腳。
[公共事件 | 數八星之戰版本2] 數八星: 遊戲結束了，小鬼。帶著你的遺憾......消失吧！
[公共事件 | 數八星之戰版本2] 悠真: ......身體動不了......！
[公共事件 | 數八星之戰版本2] 數八星: 數八星火箭拳！
[公共事件 | 數八星之戰版本2] 米勒: ....
[公共事件 | 數八星之戰版本2] 數八星: 什麼！？
[公共事件 | 數八星之戰版本2] 數八星: 我的力量.. 為什麼正在流失。
[公共事件 | 數八星之戰版本2] 米勒: 呼......趕上了嗎......
[公共事件 | 數八星之戰版本2] 悠真: （抬頭看著眼前高大的背影）
[公共事件 | 數八星之戰版本2] 悠真: 咳咳......沒、沒死？
[公共事件 | 數八星之戰版本2] 米勒: 做得好，孩子。能把這他逼到這種地步，你已經
[公共事件 | 數八星之戰版本2] 米勒: 很努力了。
[公共事件 | 數八星之戰版本2] 米勒: 不過記得下次一定要先完成所有的解謎挑戰再來。
[公共事件 | 數八星之戰版本2] 米勒: 接下來，就交給我們來處理吧。
[公共事件 | 數八星之戰版本2] 莉娜: 喂！！！！！
[公共事件 | 數八星之戰版本2] 莉娜: 米勒！！你這傢伙跑太快了吧！
[公共事件 | 數八星之戰版本2] 莉娜: 害我剛剛在轉角處迷路，差點掉進洞裡耶！你有沒
[公共事件 | 數八星之戰版本2] 莉娜: 有一點當弟弟的自覺啊？
[公共事件 | 數八星之戰版本2] 米勒: (無語)
[公共事件 | 數八星之戰版本2] 米勒: 那條路只有一直線，妳到底是怎麼迷路的？
[公共事件 | 數八星之戰版本2] 米勒: 而且是妳自己說「這裡好髒我不想走，米勒你先
[公共事件 | 數八星之戰版本2] 米勒: 去探路的吧？」
[公共事件 | 數八星之戰版本2] 莉娜: 囉嗦！我那是在考驗你的反應能力！
[公共事件 | 數八星之戰版本2] 莉娜: （莉娜拿出鏡子照，完全沒把戰場當一回事）
[公共事件 | 數八星之戰版本2] 莉娜: 還有，我的頭髮有沒有亂掉？剛剛跑太急了......
[公共事件 | 數八星之戰版本2] 數八星: 可惡！！！
[公共事件 | 數八星之戰版本2] 數八星: 你、你們這些傢伙......竟敢無視我數八星大人..
[公共事件 | 數八星之戰版本2] 數八星: ....！！
[公共事件 | 數八星之戰版本2] 莉娜: （不耐煩地收起鏡子，轉頭瞪向數八星）
[公共事件 | 數八星之戰版本2] 莉娜: 吵死了！哪來的蒼蠅在嗡嗡叫？
[公共事件 | 數八星之戰版本2] 莉娜: 聽好了，少女的美貌可是比生命還重要的！無時無
[公共事件 | 數八星之戰版本2] 莉娜: 刻都要保持在最完美的狀態才行啊。
[公共事件 | 數八星之戰版本2] 莉娜: 喂，米勒，這就是那個什麼魔王幹部？怎麼感覺
[公共事件 | 數八星之戰版本2] 莉娜: 弱得像史萊姆一樣？
[公共事件 | 數八星之戰版本2] 米勒: 啊，大概是因為機關都解開了吧。
[公共事件 | 數八星之戰版本2] 米勒: 加上他剛剛還與皇鴉那群家伙打了一架, 前幾天又
[公共事件 | 數八星之戰版本2] 米勒: 被騎士團重創。
[公共事件 | 數八星之戰版本2] 米勒: 還活著就已經是個奇蹟了。
[公共事件 | 數八星之戰版本2] 米勒: 現在這傢伙身上的能量反應......嗯，大概比村口
[公共事件 | 數八星之戰版本2] 米勒: 的野豬強一點點而已。
[公共事件 | 數八星之戰版本2] 數八星: 野、野豬！？少看不起人了！！
[公共事件 | 數八星之戰版本2] 莉娜: 冰拳！
[公共事件 | 數八星之戰版本2] 數八星: (被凍結了)
[公共事件 | 數八星之戰版本2] 莉娜: 居然敢打擾美少女。
[公共事件 | 數八星之戰版本2] 莉娜: 真是活得不耐煩了！
[公共事件 | 數八星之戰版本2] 莉娜: 烈拳！
[公共事件 | 數八星之戰版本2] ???: (數八星掉入了黑暗的時空亂流中被無情撕裂, 一代天王
[公共事件 | 數八星之戰版本2] ???: 就此真正迎來了他的終結)
[公共事件 | 數八星之戰版本2] 莉娜: 呼......這下子就算是結束了。
[公共事件 | 數八星之戰版本2] 悠真: 那個......雖然場面很混亂，但還是謝謝你們救
[公共事件 | 數八星之戰版本2] 悠真: 了我。
[公共事件 | 數八星之戰版本2] 悠真: 不過，嘶......（摸著屁股）
[公共事件 | 數八星之戰版本2] 米勒: （米勒緊張地湊過來檢查）
[公共事件 | 數八星之戰版本2] 米勒: 怎麼了？悠真？是剛才戰鬥時受傷了嗎？
[公共事件 | 數八星之戰版本2] 悠真: 不，不是戰鬥的傷......
[公共事件 | 數八星之戰版本2] 悠真: 其實在掉下來之前，我是被人從背後狠狠踢了一
[公共事件 | 數八星之戰版本2] 悠真: 腳才摔進來的。
[公共事件 | 數八星之戰版本2] 悠真: 那個力道大得離譜，根本是想殺人吧......到底
[公共事件 | 數八星之戰版本2] 悠真: 是哪個混蛋幹的......
[公共事件 | 數八星之戰版本2] 莉娜: 哎、哎呀？是嗎？那還真是個災難呢，呵呵呵....
[公共事件 | 數八星之戰版本2] 莉娜: 不過這種小事就別放在心上了吧？反正結果是好
[公共事件 | 數八星之戰版本2] 莉娜: 的嘛！活著就是贏家！
